Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
2.0,No,6.0,4.0,No,8.0,8.0,Extrovert
2.0,No,9.0,5.0,No,14.0,6.0,Extrovert
7.0,Yes,1.0,0.0,Yes,5.0,0.0,Introvert
3.0,No,3.963354474982382,6.0,No,10.0,6.0,Extrovert
2.0,No,10.0,4.0,No,11.0,10.0,Extrovert
4.0,Yes,3.0,3.0,Yes,3.0,2.0,Introvert
2.0,No,4.0,6.0,No,8.0,7.0,Extrovert
2.0,No,6.0,3.0,No,6.268862911795962,4.0,Extrovert
5.0,Yes,1.0,2.0,Yes,2.0,2.0,Introvert
10.0,Yes,2.0,1.0,Yes,3.0,1.0,Introvert
2.0,No,4.0,3.0,No,11.0,6.0,Extrovert
5.0,Yes,1.0,2.0,Yes,3.0,2.0,Introvert
1.0,No,3.963354474982382,6.0,No,8.0,8.0,Extrovert
1.0,No,4.0,6.0,No,9.0,9.0,Extrovert
0.0,No,9.0,4.0,No,10.0,3.0,Extrovert
7.0,Yes,0.0,2.0,Yes,4.0,2.0,Introvert
3.0,No,4.0,4.0,No,12.0,3.0,Extrovert
8.0,Yes,3.0,0.0,Yes,6.268862911795962,1.0,Introvert
6.0,Yes,0.0,2.0,Yes,1.0,0.0,Introvert
1.0,No,5.0,4.0,No,6.0,8.0,Extrovert
11.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
2.0,No,5.0,3.0,No,9.0,3.0,Extrovert
3.0,No,9.0,6.0,No,12.0,7.0,Extrovert
4.505816002819881,No,8.0,5.0,No,9.0,4.0,Extrovert
1.0,No,7.0,6.0,No,13.0,7.0,Extrovert
1.0,No,8.0,5.0,No,6.268862911795962,9.0,Extrovert
5.0,Yes,3.0,1.0,Yes,2.0,0.0,Introvert
3.0,No,7.0,4.0,No,12.0,3.0,Extrovert
2.0,No,9.0,5.0,No,7.0,8.0,Extrovert
1.0,No,7.0,5.0,No,8.0,3.0,Extrovert
1.0,No,6.0,6.0,No,11.0,6.0,Extrovert
2.0,No,7.0,6.0,No,7.0,9.0,Extrovert
1.0,No,8.0,5.0,No,8.0,9.0,Extrovert
10.653541877685893,Yes,3.5494631555775142,6.871946451349754,Yes,12.815448197525145,2.2672548258701504,Introvert
5.550888419109919,Yes,0.8532214179108768,6.708626894380076,Yes,4.1580932381611255,3.3845504542235103,Introvert
3.0,No,5.0,5.0,No,14.0,8.0,Extrovert
4.505816002819881,No,4.0,3.0,No,5.0,5.0,Extrovert
3.0,No,6.0,4.0,No,6.0,8.0,Extrovert
3.0,No,9.0,3.0,No,14.0,4.0,Extrovert
2.0,No,5.0,4.0,No,13.0,3.0,Extrovert
